User(name=Кличко В. В., position=Київський міський голова, totalSalary=21857.55)
User(name=Поворозник М. Ю., position=Перший заступник голови КМДА, totalSalary=144763.91)
User(name=Давтян Д. О., position=Заступник голови КМДА, totalSalary=47041.47)
User(name=Мондриївський В. М., position=Заступник голови КМДА, totalSalary=20203.43)
User(name=Непоп В. І., position=Заступник голови КМДА, totalSalary=47985.26)
User(name=Пантелеєв П. О., position=Заступник голови КМДА, totalSalary=52925.97)
User(name=Слончак В. В., position=Заступник голови КМДА з питань здійснення самоврядних повноважень, totalSalary=46964.16)
User(name=Спасибко О. В., position=Заступник голови КМДА, totalSalary=23719.81)
User(name=Хонда М. П., position=Заступник голови КМДА з питань здійснення самоврядних повноважень, totalSalary=127849.99)
